id,name,address,latitude,longitude
12871,BROADWAY BAKERY & PIZZERIA,119-02 LIBERTY AVENUE Queens 11419,40.686298,-73.824033
1,BRUNOS ON THE BOULEVARD,88-25 ASTORIA BOULEVARD Queens 11369,40.763966,-73.88052
2,WILD ASIA,2300 SOUTHERN BOULEVARD The Bronx 10460,40.850715,-73.882421
3,P & S DELI GROCERY,730 COLUMBUS AVENUE Manhattan 10025,40.792748,-73.967604
5,SHASHEMENE INT'L RESTAURA,195 EAST   56 STREET Brooklyn 11203,40.649707,-73.933487
6,CARVEL ICE CREAM,1006 EAST  233 STREET The Bronx 10466,40.890565,-73.848485
8,SNACK TIME GRILL,87-69 LEFFERTS BOULEVARD Queens 11418,40.698437,-73.830154
10,SPOON BREAD CATERING,364 WEST  110 STREET Manhattan 10025,40.801346,-73.960262
11,TERMINAL CAFE/YANKEE CLIPPER,0 GUARDIA AIRPORT PARKING Queens 11371,40.771167,-73.873808
12,PLAZA BAGELS & DELI,73 NEW DORP PLAZA Staten Island 10306,40.573372,-74.117777
13,B & M HOT BAGEL & GROCERY,203 GIFFORDS LANE Staten Island 10308,40.556375,-74.152595
15,MANHEM CLUB,658 CLARENCE AVE The Bronx 10465,40.829043,-73.814589
16,OLD TOWN BAR & RESTAURANT,45 EAST   18 STREET Manhattan 10003,40.737563,-73.98959
17,BEN-BEST DELI & RESTAURANT,96-40 QUEENS BOULEVARD Queens 11374,40.729687,-73.86171
18,DONOHUE'S STEAK HOUSE,845 LEXINGTON AVENUE Manhattan 10065,40.765519,-73.965774
19,DINING ROOM,.          ALLEN TRIPO Manhattan 10075,40.773274,-73.956094
20,NEW PARK PIZZERIA & RESTAURANT,156-71 CROSSBAY BOULEVARD Queens 11414,40.663083,-73.840754
21,MELODY LANES,461 37 STREET Brooklyn 11232,40.655247,-74.000591
22,SHELL LANES,1 BOUCK COURT Brooklyn 11223,40.588723,-73.974162
23,SOUTH SHORE SWIMMING CLUB,6736 HYLAN BOULEVARD Staten Island 10309,40.508213,-74.227077
25,STEVE CHU'S DELI & GROCERY,3406 10 STREET Queens 11106,40.764753,-73.938722
26,COMO PIZZA,4035 BROADWAY Manhattan 10032,40.842319,-73.939262
28,PANCHITO'S,103 MACDOUGAL STREET Manhattan 10012,40.729644,-74.00078
29,SPAIN RESTAURANT & BAR,113 WEST   13 STREET Manhattan 10011,40.736885,-73.997859
30,PALACE CAFE,206 NASSAU AVENUE Brooklyn 11222,40.725621,-73.944509
31,KING YUM RESTAURANT,181-08 UNION TURNPIKE Queens 11366,40.727374,-73.786595
33,GARGIULO'S RESTAURANT,2911 WEST   15 STREET Brooklyn 11224,40.576636,-73.982606
34,PATSY'S ITALIAN RESTAURANT,236 WEST   56 STREET Manhattan 10019,40.765455,-73.988867
35,MCDWYERS PUB,331 EAST  204 STREET The Bronx 10467,40.872411,-73.878035
36,BLARNEY BAR,146-09 JAMAICA AVENUE Queens 11435,40.701797,-73.808672
37,HEALY'S PUB,10807 ROCKAWAY BEACH BOULEVARD Queens 11694,40.581762,-73.830244
38,FIFTH AVENUE BINGO,416 5 AVENUE Brooklyn 11215,40.669928,-73.985662
39,3 STAR COFFEE SHOP,541 COLUMBUS AVENUE Manhattan 10024,40.786486,-73.972162
41,BRENNAN & CARR,3432 NOSTRAND AVENUE Brooklyn 11229,40.600339,-73.941878
42,SHIMONS KOSHER PIZZA,71-24      MAIN STREET Queens 11367,40.727318,-73.822294
43,THE RIVIERA CAFE,225 WEST    4 STREET Manhattan 10014,40.734044,-74.002911
